Unnamed: 0,คลอง,กม.,Unnamed: 3,ระยะ,Qr,Qmax (จากแผนรอบเวรส่งน้ำ),Qd,A,V,Experiment,R,n,s,B,D,t,HC,HL,HR,Bm,TL,TR,RL,RR,หมายเหตุ,Unnamed: 26,คลอง.1,กม..1,Unnamed: 29,ระยะ.1,พื้นที่,ปริมาตรน้ำ,ปริมาตรน้ำสะสม,พื้นที่กันเขต
,,เริ่ม,สิ้นสุด,ม.,ม.3/วินาที,ม.3/วินาที,ม.3/วินาที,ม.2,ม./วินาที,ม./วินาที,ม.,,,ม.,ม.,ม.,ม.,ม.,ม.,ม.,ม.,ม.,ม.,ม.,,,,เริ่ม,สิ้นสุด,(ม.),(ตร.ม.),(ลบ.ม.),(ลบ.ม.),(ตร.ม.)
,,12+100,14+000,1900,0.267,,0.278,0.784,0.355,,0.304,0.018,0.0002,0.6,0.55,0.06,0.7,0.95,0.95,-,5,2,15,15,คลองดาดคอนกรีต,,,12+100,14+000,1900,0.7837500000000001,1489.125,37945.75,57000
,,14+000,14+400,400,0.267,0.278,0.278,0.784,0.355,,0.304,0.018,0.0002,0.6,0.55,0.06,0.7,0.95,0.95,-,5,2,15,15,คลองดาดคอนกรีต,,,14+000,14+400,400,0.7837500000000001,313.5,38259.25,12000
,,14+400,14+500,100,-,0.159,0.151,0.625,0.242,,0.271,0.03,0.0003,0.5,0.5,0,0,0,0,0,0,0,15,15,คลองดิน,,,14+400,14+500,100,0.625,62.5,38321.75,3000
,,,,,,,,,,,,,,,,,,,,,,,,,,,รวม,,,14500,,38321.75,,572075
,7R-9R-LMC,0+000,1+500,1500,0.339,0.379,0.398,1.024,0.389,,0.348,0.018,0.0002,0.6,0.65,0.06,0.08,1.05,1.05,0,5,2,20,15,คลองดาดคอนกรีต,,7R-9R-LMC,0+000,1+500,1500,1.0237500000000002,1535.6250000000002,1535.6250000000002,52500
,,1+500,3+000,1500,0.292,0.334,0.335,0.9,0.372,,0.326,0.018,0.0002,0.6,0.6,0.06,0.75,1,1,0,5,2,15,15,คลองดาดคอนกรีต,,,1+500,3+000,1500,0.8999999999999999,1349.9999999999998,2885.625,45000
,,3+000,3+200,200,-,0.159,0.151,0.625,0.242,,0.271,0.03,0.0003,0.5,0.5,0,0,0,0,0,0,0,15,15,คลองดิน,,,3+000,3+200,200,0.625,125,3010.625,6000
,,,,,,,,,,,,,,,,,,,,,,,,,,,รวม,,,3200,,3010.625,,103500
,7L-9R-LMC,0+000,0+800,800,0.092,0.334,0.335,0.9,0.372,,0.326,0.018,0.0002,0.6,0.6,0.06,0.75,1,1,0,2,5,15,15,คลองดาดคอนกรีต,,7L-9R-LMC,0+000,0+800,800,0.8999999999999999,719.9999999999999,719.9999999999999,24000
,,0+800,2+500,1700,0.201,0.205,0.206,0.625,0.329,,0.271,0.018,0.0002,0.5,0.5,0.06,0.65,0.9,0.9,0,2,5,15,15,คลองดาดคอนกรีต,,,0+800,2+500,1700,0.625,1062.5,1782.5,51000
